law_code	law_name	chapter	section	article_number	text
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	1	ماده 1- واژههای به کار رفته در این آییننامه به شرح زیر میباشند: الف - قانون: قانون حمایت خانواده مصوب 1391/12/1 مجلس شورای اسلامی ب - آییننامه: آییننامه اجرایی قانون حمایت خانواده مصوب 1391/12/1 مجلس شورای اسلامی ج - دادگاه خانواده: دادگاه خانواده موضوع قانون د - مرکز امور مشاوران: مرکز امور مشاوران، وکلا و کارشناسان رسمی قوه قضاییه
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	2	ماده 2- از زمان لازمالاجراء شدن قانون در حوزههای قضایی که دادگاه خانواده تشکیل نگردیده یا در صورت تشکیل به تعداد کافی ایجاد نشده است تا استقرار کامل دادگاههای مذکور، دادگاه عمومی حقوقی مستقر در آن حوزه یا شعب دادگاه عمومی فعلی ویژه رسیدگی به دعاوی خانوادگی با ساختار موجود ولی با رعایت مقررات قانون و تشریفات مربوط، به دعاوی موضوع قانون رسیدگی خواهند کرد. تبصره - در حوزه قضایی دادگاه بخش چنانچه دادگاه خانواده تشکیل نشود دعاوی راجع به اصل نکاح و انحلال آن در دادگاه خانواده نزدیکترین حوزه قضایی هر استان رسیدگی خواهد شد.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	3	ماده 3- رئیس کل دادگستری هر استان موظف است تمهیدات لازم جهت تشکیل دادگاه خانواده و مراکز مشاوره خانواده را با کمک مسؤولان قوهقضاییه و همکاری رؤسای حوزههای قضایی شهرستانهای مربوط ظرف مهلت مقرر در قانون، فراهم نماید.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	4	ماده 4- مراجع عالی اقلیتهای دینی مذکور در قانون اساسی توسط کلیساها، دارالشرع کلیمیان و انجمنها و نهادهای زرتشتی سراسر کشور به قوه قضاییه اعلام خواهد شد. دادگاه خانواده تصمیم مراجع مذکور در خصوص امور حسبی و احوال شخصیه اقلیتهای یادشده مانند نکاح و طلاق را پس از وصول، بررسی و بدون رعایت تشریفات، تنفیذ و دستور اجراء صادر خواهد کرد. تبصره - قوهقضاییه مراجع عالی معتبر را از طریق رؤسای کل دادگستری به دادگاههای خانواده معرفی خواهد کرد.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	5	ماده 5- احراز عدم تمکن مالی اصحاب دعوی، موضوع ماده 5 قانون، به تشخیص دادگاه است و نیاز به تشریفات دادرسی و حکم اعسار ندارد. در صورت نیاز، دادگاه در وقت فوقالعاده تحقیقات لازم را انجام خواهد داد.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث اول: کلیات	6	ماده 6- در صورت اقتضاء ضرورت یا وجود الزام قانونی دایر بر داشتن وکیل، دادگاه حسب مورد رأساً یا به درخواست فرد فاقد تمکن مالی از طریق مرکز امور مشاوران یا کانون وکلاء دادگستری مربوط وکیل معاضدتی تعیین میکند. مرکز یا کانون مذکور مطابق مقررات، موظف به معرفی وکیل معاضدتی به دادگاه است.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث دوم: ارائه گواهی پزشکی توسط زوجین	7	ماده 7- الف - وزارت بهداشت درمان و آموزش پزشکی مکلف است فهرست بیماریهای موضوع صدر ماده 23 قانون و هرگونه تغییری که در فهرست مذکور متعاقباً ایجاد گردد را تعیین و به سازمان اسناد و املاک کشور اعلام کند. سازمان یاد شده پس از وصول فهرست مذکور، مراتب را به دفاتر اسناد رسمی ثبت ازدواج ابلاغ میکند. نظارت و پیگیری بر این امر بر عهده سازمان مذکور میباشد. ب - دفاتر رسمی ثبت ازدواج پس از دریافت گواهی واکسینه شدن نسبت به بیماریهای مزبور و گواهی عدم اعتیاد زوجین به مواد مخدر و عدم ابتلاء به بیماریهای مذکور، اقدام به ثبت ازدواج مینمایند. ج - چنانچه گواهی صادر شده بر وجود بیماری و یا اعتیاد به مواد مخدر دلالت کند، ثبت نکاح در دفتر رسمی ازدواج، در صورت درخواست کتبی آنان مبنی بر ثبت ازدواج علیرغم بیماری و یا اعتیاد به مواد مخدر، بلامانع است. د - چنانچه گواهی صادر شده بر وجود بیماریهای مسری و خطرناک مذکور در فهرست یاد شده دلالت کند، طرفین جهت مراقبت و نظارت توسط دفتر رسمی ثبت ازدواج به مرکز مورد تأیید وزارت بهداشت، درمان و آموزش پزشکی معرفی میشوند. دفتر مذکور پس از تأیید مرکز یاد شده مبنی بر انجام مراقبت لازم، نسبت به ثبت ازدواج اقدام میکند. تبصره - در مورد بیماری خطرناک که منجر به خسارت جنین باشد باید علاوه بر مراقبت و نظارت به شرح فوق، نسبت به جلوگیری از بچهدار شدن، پیشگیری مؤثری را تحت نظارت مراکز یادشده و پزشک متخصص انجام و نتیجه را به مراکز مزبور ارائه دهند. در صورت تأیید مراکز فوق مبنی بر انجام اقدامات فوق دفتر رسمی ازدواج نسبت به ثبت ازدواج اقدام میکند. ه- - گواهی عدم اعتیاد به مواد مخدر و عدم ابتلاء به بیماریهای موضوع ماده 23 قانون باید توسط مراکز مورد تأیید وزارت بهداشت، درمان و آموزش پزشکی صادر گردد والا اعتبار نخواهد داشت.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث سوم: طلاق توافقی	8	ماده 8- در صورتی که زوجین متقاضی طلاق توافقی باشند، دادگاه باید موضوع را به مرکز مشاوره خانواده ارجاع دهد. مرکز فوق در صورت انصراف طرفین از طلاق، با تنظیم صورتجلسه، پرونده را جهت اتخاذ تصمیم مقتضی به دادگاه ارسال میکند. در صورت عدم حصول توافق کلی زوجین نسبت به شرایط مقرر بین طرفین، گزارش اقدامات انجام شده و مشروح مذاکرات از جمله، اظهارات آنها و نقاط قوت و ضعف و موارد توافق و نظر مرکز فوق پیرامون موضوع را به دادگاه ارائه میدهد تا دادگاه مطابق قانون رسیدگی و اتخاذ تصمیم نماید. تبصره - مواردی که طرفین در اجرای ماده 25 قانون مستقیماً به مرکز مشاوره خانواده مراجعه میکنند، در صورت انصراف طرفین از طلاق، با تنظیم صورتجلسه پرونده بایگانی میشود. در صورت عدم حصول توافق کلی زوجین نسبت به شرایط مقرر بین طرفین، مرکز فوق اظهارات آنها و موارد توافق و اختلاف را صورتجلسه و نظر خود را اعلام میکند. در صورتی که موضوع در دادگاه مطرح شود، مرکز فوق صورتجلسات تنظیمی و نظریه خود را به تقاضای هر یک از طرفین به دادگاه جهت اتخاذ تصمیم مقتضی ارسال میکند.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث سوم: طلاق توافقی	9	ماده 9- در صورتی که اقدامات مرکز مشاوره خانواده منجر به حصول توافق در طلاق بین زوجین گردد، سازشنامه با ذکر شروط و تعهدات مورد توافق طرفین تنظیم و مراتب به دادگاه اعلام خواهد شد. در این صورت، دادگاه تعهدات و شروط مورد توافق طرفین در مرکز مشاوره را در صورت تأیید زوجین در محضر دادگاه ضمن انعکاس در صورتمجلس در گواهی عدم امکان سازش قید مینماید.
aeename_hemayat_family_91	آیین‌نامه اجرایی قانون حمایت خانواده مصوب ۲۷ بهمن ۱۳۹۳ رئیس قوه قضائیه	فصل اول - دادگاه خانواده	مبحث سوم: طلاق توافقی	10	ماده 10- مرکز مشاوره از زمان وصول درخواست یا ارجاع دادگاه، باید حداکثر ظرف سه ماه اتخاذ تصمیم نماید. در صورت توافق زوجین، مهلت مذکور حداکثر تا سه ماه دیگر قابل تمدید خواهد بود. نحوه فعالیت مراکز مشاوره خانواده در خصوص اموری از قبیل نحوه ارجاع، پذیرش و تشکیل پرونده، نحوه برگزاری جلسات مشاوره، نظارت و ارزیابی عملکرد و رتبهبندی مراکز فوق مطابق دستورالعملی خواهد بود که به تصویب رئیس مرکز میرسد. (اصلاحیه 1402/7/8)
