id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,x-ai/grok-4-fast,5,3,5,"براساس مواد 220 و 224 قانون مدنی، انفساخ عقد قهری و خودکار است، اما سبب آن می‌تواند شرط ارادی طرفین در قرارداد باشد که بدون نیاز به اراده بعدی، عقد را منفسخ می‌کند.",6486,4115,738,4853,164,33,"results{explanation,answer,confidence}:
براساس مواد 220 و 224 قانون مدنی، انفساخ عقد قهری و خودکار است، اما سبب آن می‌تواند شرط ارادی طرفین در قرارداد باشد که بدون نیاز به اراده بعدی، عقد را منفسخ می‌کند.,3,5",
2,x-ai/grok-4-fast,5,1,4,"بر اساس ماده 14 قانون بیمه اجباری خسارات واردشده به شخص ثالث، بیمه‌گر مسئول پرداخت دیه شخص ثالث (ب) تا سقف تعهدات (معادل دیه کامل) و دیه راننده مقصر (الف) از محل بیمه حوادث راننده تا سقف دیه کامل است، در حالی که خسارات مالی فقط به وسیله شخص ثالث (موتورسیکلت ب) تا سقف تعهدات تعلق می‌گیرد و وسیله مقصر پوشش داده نمی‌شود.",17245,4562,1787,6349,319,63,"results{explanation,answer,confidence}:
بر اساس ماده 14 قانون بیمه اجباری خسارات واردشده به شخص ثالث، بیمه‌گر مسئول پرداخت دیه شخص ثالث (ب) تا سقف تعهدات (معادل دیه کامل) و دیه راننده مقصر (الف) از محل بیمه حوادث راننده تا سقف دیه کامل است، در حالی که خسارات مالی فقط به وسیله شخص ثالث (موتورسیکلت ب) تا سقف تعهدات تعلق می‌گیرد و وسیله مقصر پوشش داده نمی‌شود.,1,4",
3,x-ai/grok-4-fast,5,4,5,"براساس ماده 35 قانون مدنی، تصرف به عنوان مالکیت (که همراه با قصد تملک است) دلیل مالکیت است و می‌تواند به تنهایی سبب اثبات و تحقق تملک باشد مگر خلاف ثابت شود.",4846,2584,574,3158,157,32,"results{explanation,answer,confidence}:
براساس ماده 35 قانون مدنی، تصرف به عنوان مالکیت (که همراه با قصد تملک است) دلیل مالکیت است و می‌تواند به تنهایی سبب اثبات و تحقق تملک باشد مگر خلاف ثابت شود.,4,5",
4,x-ai/grok-4-fast,5,4,4,"بر اساس ماده 2 قانون مسئولیت مدنی، پزشک مقصر مسئول جبران خسارت ناشی از تقصیر حرفه‌ای است، اما با توجه به پوشش کامل بیمه مسئولیت مدنی، بیمه‌گر موظف به پرداخت مستقیم دیه کامل مرد مسلمان به بازماندگان واجد شرایط متوفی می‌باشد.",7573,4177,966,5143,223,41,"results{explanation,answer,confidence}:
بر اساس ماده 2 قانون مسئولیت مدنی، پزشک مقصر مسئول جبران خسارت ناشی از تقصیر حرفه‌ای است، اما با توجه به پوشش کامل بیمه مسئولیت مدنی، بیمه‌گر موظف به پرداخت مستقیم دیه کامل مرد مسلمان به بازماندگان واجد شرایط متوفی می‌باشد.,4,4",
5,x-ai/grok-4-fast,5,1,5,"مطابق ماده 1119 قانون مدنی، شروط ضمن عقد نکاح می‌تواند به شکل شرط نتیجه یا شرط فعل برای اعطای وکالت به زوجه در طلاق باشد، و منابع ارائه‌شده مانند وحدت رویه و دادنامه‌ها تحقق این وکالت را صرفاً در قالب شروط ضمن عقد نکاح تأیید می‌کنند بدون اشاره به عقد دیگری.",6256,4523,882,5405,257,51,"results{explanation,answer,confidence}:
مطابق ماده 1119 قانون مدنی، شروط ضمن عقد نکاح می‌تواند به شکل شرط نتیجه یا شرط فعل برای اعطای وکالت به زوجه در طلاق باشد، و منابع ارائه‌شده مانند وحدت رویه و دادنامه‌ها تحقق این وکالت را صرفاً در قالب شروط ضمن عقد نکاح تأیید می‌کنند بدون اشاره به عقد دیگری.,1,5",
6,x-ai/grok-4-fast,5,2,4,"براساس مواد ۷۹۵ و ۸۲۶ قانون مدنی، در هر دو، ذی‌نفع (متهب یا موصی‌له) به «کس دیگری» یا «دیگری» اشاره دارد که می‌تواند غیر محصور و شامل اشخاص متعدد یا گروه معین باشد، لذا این تشابه صحیح است.",32544,3370,5738,9108,188,38,"results{explanation,answer,confidence}:
براساس مواد ۷۹۵ و ۸۲۶ قانون مدنی، در هر دو، ذی‌نفع (متهب یا موصی‌له) به «کس دیگری» یا «دیگری» اشاره دارد که می‌تواند غیر محصور و شامل اشخاص متعدد یا گروه معین باشد، لذا این تشابه صحیح است.,2,4",
7,x-ai/grok-4-fast,5,4,5,"براساس ماده 721 قانون مدنی، در ضمان عقدی تسهیمی (ضم ذمه به ذمه)، مضمون‌له فقط به قدر سهم هر ضامن حق رجوع دارد و مسئولیت تضامنی نیست.",5521,2640,784,3424,132,27,"results{explanation,answer,confidence}:
براساس ماده 721 قانون مدنی، در ضمان عقدی تسهیمی (ضم ذمه به ذمه)، مضمون‌له فقط به قدر سهم هر ضامن حق رجوع دارد و مسئولیت تضامنی نیست.,4,5",
8,x-ai/grok-4-fast,5,2,4,"براساس مواد 219، 220 و 454 قانون مدنی و شرط ضمن عقد بیع، عدم پرداخت ثمن ظرف مدت مقرر (حتی با صدور حواله که قبض ثمن محسوب نمی‌شود) حق فسخ و استرداد مبیع را برای فروشنده فراهم می‌کند؛ همچنین، فروشنده به عنوان محتال می‌تواند بر اساس قواعد حواله (ماده 724 قانون مدنی) جداگانه علیه محال علیه برای وصول مبلغ طرح دعوا نماید.",7468,3623,980,4603,317,62,"results{explanation,answer,confidence}:
براساس مواد 219، 220 و 454 قانون مدنی و شرط ضمن عقد بیع، عدم پرداخت ثمن ظرف مدت مقرر (حتی با صدور حواله که قبض ثمن محسوب نمی‌شود) حق فسخ و استرداد مبیع را برای فروشنده فراهم می‌کند؛ همچنین، فروشنده به عنوان محتال می‌تواند بر اساس قواعد حواله (ماده 724 قانون مدنی) جداگانه علیه محال علیه برای وصول مبلغ طرح دعوا نماید.,2,4",
9,x-ai/grok-4-fast,5,2,4,"مطابق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در قبال خسارات ناشی از فعل کارگر مسئول است مگر اینکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده و تقصیری نداشته باشد؛ بنابراین در مسئولیت مدنی مبتنی بر تقصیر، عدم اثبات تقصیر موجب عدم مسئولیت کارفرما می‌شود.",24411,4313,3451,7764,252,46,"results{explanation,answer,confidence}:
مطابق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در قبال خسارات ناشی از فعل کارگر مسئول است مگر اینکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده و تقصیری نداشته باشد؛ بنابراین در مسئولیت مدنی مبتنی بر تقصیر، عدم اثبات تقصیر موجب عدم مسئولیت کارفرما می‌شود.,2,4",
10,x-ai/grok-4-fast,5,4,3,"براساس ماده 1188 قانون مدنی، وصی تعیین‌شده برای اداره اموال و نگهداری صغار عهدی است و می‌تواند برای اجرای وظایف به دیگری وکالت دهد، اما به دلیل عدم مالکیت بر اموال، تحت هیچ شرایطی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.",8603,2918,1429,4347,230,44,"results{explanation,answer,confidence}:
براساس ماده 1188 قانون مدنی، وصی تعیین‌شده برای اداره اموال و نگهداری صغار عهدی است و می‌تواند برای اجرای وظایف به دیگری وکالت دهد، اما به دلیل عدم مالکیت بر اموال، تحت هیچ شرایطی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.,4,3",
