law_code	law_name	book	section	chapter	article_number	text
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل اول- تعاریف	1	ماده 1- قانون مجازات اسلامی مشتمل بر جرایم و مجازات‌های حدود، قصاص، دیات و تعزیرات، اقدامات تأمینی و تربیتی، شرایط و موانع مسؤولیت کیفری و قواعد حاکم بر آنها است.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل اول- تعاریف	2	ماده 2- هر رفتاری اعم از فعل یا ترک فعل که در قانون برای آن مجازات تعیین شده است جرم محسوب می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	3	ماده 3- قوانین جزایی ایران درباره کلیه اشخاصی که در قلمرو حاکمیت زمینی، دریایی و هوایی جمهوری اسلامی ایران مرتکب جرم شوند اعمال می‌شود مگر آن که به موجب قانون ترتیب دیگری مقرر شده باشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	4	ماده 4- هرگاه قسمتی از جرم یا نتیجه آن در قلمرو حاکمیت ایران واقع شود در حکم جرم واقع شده در جمهوری اسلامی ایران است.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	5	ماده 5- هر شخص ایرانی یا غیرایرانی که در خارج از قلمرو حاکمیت ایران مرتکب یکی از جرایم زیر یا جرایم مقرر در قوانین خاص گردد، طبق قوانین جمهوری اسلامی ایران محاکمه و مجازات می‌شود و هرگاه رسیدگی به این جرایم در خارج از ایران به صدور حکم محکومیت و اجرای آن منتهی شود، دادگاه ایران در تعیین مجازات‌های تعزیری، میزان محکومیت اجراء شده را محاسبه می‌کند: الف- اقدام علیه نظام، امنیت داخلی یا خارجی، تمامیت ارضی یا استقلال جمهوری اسلامی ایران ب- جعل مهر، امضاء، حکم، فرمان یا دست خط مقام رهبری یا استفاده از آن پ- جعل مهر، امضاء، حکم، فرمان یا دست خط رسمی رییس جمهور، رییس قوه قضاییه، رییس و نمایندگان مجلس شورای اسلامی، رییس مجلس خبرگان، رییس دیوان عالی کشور، دادستان کل کشور، اعضای شورای نگهبان، رییس و اعضای مجمع تشخیص مصلحت نظام، وزرا یا معاونان رییس جمهور یا استفاده از آنها. ت- جعل آراء مراجع قضایی یا اجرائیه‌های صادره از این مراجع یا سایر مراجع قانونی و یا استفاده از آنها. ث- جعل اسکناس رایج یا اسناد تعهدآور بانکی ایران و همچنین جعل اسناد خزانه و اوراق مشارکت صادر شده یا تضمین شده از طرف دولت یا تهیه یا ترویج سکه قلب در مورد مسکوکات رایج داخل.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	6	ماده 6- به جرایم مستخدمان دولت اعم از ایرانی یا غیر ایرانی که در رابطه با شغل و وظیفه خود در خارج از قلمرو حاکمیت ایران مرتکب شده اند و به جرایم مأموران سیاسی و کنسولی و دیگر وابستگان دولت ایران که از مصونیت سیاسی برخوردارند طبق قوانین جمهوری اسلامی ایران رسیدگی می‌شود.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	7	ماده 7- علاوه بر موارد مذکور در مواد فوق هر یک از اتباع ایران در خارج از کشور مرتکب جرمی شود، در صورتی که در ایران یافت و یا به ایران اعاده گردد، طبق قوانین جمهوری اسلامی ایران محاکمه و مجازات می‌شود مشروط بر این که: الف- رفتار ارتکابی به موجب قانون جمهوری اسلامی ایران جرم باشد. ب- در صورتی که جرم ارتکابی از جرایم موجب تعزیر باشد، متهم در محل وقوع جرم محاکمه و تبرئه نشده یا در صورت محکومیت، مجازات کلاً یا بعضاً درباره او اجراء نشده باشد. پ- طبق قوانین ایران موجبی برای منع یا موقوفی تعقیب یا موقوفی اجرای مجازات یا سقوط آن نباشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	8	ماده 8- هرگاه شخص غیرایرانی در خارج از ایران علیه شخصی ایرانی یا علیه کشور ایران مرتکب جرمی به جز جرایم مذکور در مواد قبل شود و در ایران یافت و یا به ایران اعاده گردد، طبق قوانین جزایی جمهوری اسلامی ایران به جرم او رسیدگی می‌شود، مشروط بر این که: الف- متهم در جرایم موجب تعزیر در محل وقوع جرم، محاکمه و تبرئه نشده یا در صورت محکومیت، مجازات کلاً یا بعضاً درباره او اجراء نشده باشد. ب- رفتار ارتکابی در جرایم موجب تعزیر به موجب قانون جمهوری اسلامی ایران و قانون محل وقوع، جرم باشد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل دوم- قلمرو اجرای قوانین جزایی در مکان	9	ماده 9- مرتکب جرایمی که به موجب قانون خاص یا عهدنامه ها و مقررات بین المللی در هر کشوری یافت شود در همان کشور محاکمه می‌شود، اگر در ایران یافت شود طبق قوانین جزایی جمهوری اسلامی ایران محاکمه و مجازات می‌گردد.
mojazat_eslami_92	قانون مجازات اسلامی مصوب ۱۳۹۲	کتاب اول- کلیات	بخش اول- مواد عمومی	فصل سوم- قلمرو اجرای قوانین جزایی در زمان	10	ماده 10- در مقررات و نظامات دولتی مجازات و اقدام تأمینی و تربیتی باید به موجب قانونی باشد که قبل از وقوع جرم مقرر شده است و مرتکب هیچ رفتاری اعم از فعل یا ترک فعل را نمی‌توان به موجب قانون مؤخر به مجازات یا اقدامات تأمینی و تربیتی محکوم کرد لکن چنانچه پس از وقوع جرم، قانونی مبنی بر تخفیف یا عدم اجرای مجازات یا اقدام تأمینی و تربیتی یا از جهاتی مساعدتر به حال مرتکب وضع شود، نسبت به جرایم سابق بر وضع آن قانون تا صدور حکم قطعی، مؤثر است. هرگاه به موجب قانون سابق، حکم قطعی لازم الاجراء، صادر شده باشد به ترتیب زیر عمل می‌شود: الف- اگر رفتاری که در گذشته جرم بوده است به موجب قانون لاحق جرم شناخته نشود، حکم قطعی اجراء نمی‌شود و اگر در جریان اجراء باشد اجرای آن موقوف می‌شود. در این موارد و همچنین در موردی که حکم قبلاً اجراء شده است هیچ گونه اثر کیفری بر آن مترتب نیست. ب- اگر مجازات جرمی به موجب قانون لاحق، تخفیف یابد، قاضی اجرای احکام موظف است قبل از شروع به اجراء یا در حین اجراء از دادگاه صادرکننده حکم قطعی، اصلاح آن را طبق قانون جدید تقاضا کند. محکوم نیز می‌تواند از دادگاه صادرکننده حکم، تخفیف مجازات را تقاضا نماید. دادگاه صادرکننده حکم با لحاظ قانون لاحق، مجازات قبلی را تخفیف می‌دهد. مقررات این بند در مورد اقدام تأمینی و تربیتی که در مورد اطفال بزهکار اجراء می‌شود نیز جاری است. در این صورت ولی یا سرپرست وی نیز می‌تواند تخفیف اقدام تأمینی و تربیتی را تقاضا نماید. تبصره- مقررات فوق در مورد قوانینی که برای مدت معین و با موارد خاص وضع شده است، مگر به تصریح قانون لاحق، اعمال نمی‌شود.
