Model,ExplainLenMean_Correct0,ExplainLenMedian_Correct0,ExplainLenMean_Correct1,ExplainLenMedian_Correct1,PromptTok_Correct0,CompletionTok_Correct0,TotalTok_Correct0,PromptTok_Correct1,CompletionTok_Correct1,TotalTok_Correct1,SummaryPromptTok_Mean,SummaryCompletionTok_Mean,SummaryTotalTok_Mean
claude haiku 4.5,49.81,48,47.05,45,2312.41,183.21,2495.62,2283.67,172.61,2456.28,2298.76,178.18,2476.93
deepseek r1t2 chimera,35.03,34,33.91,33,1591.68,535.03,2126.71,1584.27,478.71,2062.98,1588.19,508.53,2096.72
deepSeek v32 exp,35.65,33,34.09,32,1595.58,83.27,1678.85,1585.74,79.16,1664.89,1590.87,81.3,1672.17
gemini 2.5 flash,33.17,31,30.59,30,1475.1,69.04,1544.13,1464.34,63.99,1528.32,1469,66.18,1535.18
gemini 2.5 flash lite,31.77,31,30.96,31,1473.52,66.38,1539.9,1462.45,65.41,1527.86,1469,65.98,1534.98
gpt 4.1 mini,39.47,38,34.6,34,1444.09,75.56,1519.64,1428.84,68.38,1497.22,1437.73,72.57,1510.3
gpt 4o mini,32.39,32,30.79,31,1441.33,64.4,1505.73,1433.19,61.53,1494.72,1437.73,63.13,1500.87
gpt oss 20,31.41,30,32.33,32.5,1491.38,1724.82,3216.2,1506.3,1924.82,3431.12,1496.35,1791.49,3287.84
gpt oss 120,38.41,37,38,37,1496.96,873.61,2370.57,1504,743.58,2247.57,1499.31,830.27,2329.57
grok 4 fast,46.13,46,44.92,44,1582.96,1956.2,3539.16,1574.18,1394,2968.18,1578.21,1651.68,3229.88
llama 4 maverick,41.82,37.5,36.28,32,1438.26,80.06,1518.32,1417.71,72.22,1489.93,1428.32,76.28,1504.6
llama 4 scout,49.46,48,47.03,43,1429.2,90.03,1519.24,1427.08,88.41,1515.49,1428.12,89.21,1517.33
qwen3 80,42.14,40,37.76,36,1960.45,134.38,2094.83,1960.12,123.53,2083.65,1960.31,129.77,2090.07
qwen3 235,40.31,38.5,34.75,32.5,1968.86,128.61,2097.47,1950.54,112.95,2063.48,1960.31,121.3,2081.61
